node,function,verse,text,front,sentence
427553,simultaneous,Gen 1:1,בְּרֵאשִׁ֖ית,בְּ,בְּרֵאשִׁ֖ית בָּרָ֣א אֱלֹהִ֑ים אֵ֥ת הַשָּׁמַ֖יִם וְאֵ֥ת הָאָֽרֶץ׃ 
427680,simultaneous,Gen 2:2,בַּיֹּ֣ום שְּׁבִיעִ֔י,בְּ,וַיְכַ֤ל אֱלֹהִים֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מְלַאכְתֹּ֖ו אֲשֶׁ֣ר עָשָׂ֑ה 
427682,simultaneous,Gen 2:2,בַּיֹּ֣ום שְּׁבִיעִ֔י,בְּ,וַיִּשְׁבֹּת֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מִכָּל־מְלַאכְתֹּ֖ו אֲשֶׁ֥ר עָשָֽׂה׃ 
427805,simultaneous,Gen 3:8,לְר֣וּחַ הַיֹּ֑ום,לְ,וַֽיִּשְׁמְע֞וּ אֶת־קֹ֨ול יְהוָ֧ה אֱלֹהִ֛ים מִתְהַלֵּ֥ךְ בַּגָּ֖ן לְר֣וּחַ הַיֹּ֑ום 
427835,atelic_ext,Gen 3:14,כָּל־יְמֵ֥י חַיֶּֽיךָ׃,Ø,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ 
427851,atelic_ext,Gen 3:17,כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃,Ø,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ 
427984,atelic_ext,Gen 5:3,שְׁלֹשִׁ֤ים וּמְאַת֙ שָׁנָ֔ה,Ø,וַֽיְחִ֣י אָדָ֗ם שְׁלֹשִׁ֤ים וּמְאַת֙ שָׁנָ֔ה 
428000,atelic_ext,Gen 5:9,תִּשְׁעִ֣ים שָׁנָ֑ה,Ø,וַֽיְחִ֥י אֱנֹ֖ושׁ תִּשְׁעִ֣ים שָׁנָ֑ה 
428007,atelic_ext,Gen 5:12,שִׁבְעִ֣ים שָׁנָ֑ה,Ø,וַֽיְחִ֥י קֵינָ֖ן שִׁבְעִ֣ים שָׁנָ֑ה 
428023,atelic_ext,Gen 5:19,שְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה,Ø,וַֽיְחִי־יֶ֗רֶד אַֽחֲרֵי֙ הֹולִידֹ֣ו אֶת־חֲנֹ֔וךְ שְׁמֹנֶ֥ה מֵאֹ֖ות שָׁנָ֑ה 
428028,atelic_ext,Gen 5:21,חָמֵ֥שׁ וְשִׁשִּׁ֖ים שָׁנָ֑ה,Ø,וַֽיְחִ֣י חֲנֹ֔וךְ חָמֵ֥שׁ וְשִׁשִּׁ֖ים שָׁנָ֑ה 
428030,atelic_ext,Gen 5:22,שְׁלֹ֥שׁ מֵאֹ֖ות שָׁנָ֑ה,Ø,וַיִּתְהַלֵּ֨ךְ חֲנֹ֜וךְ אֶת־הָֽאֱלֹהִ֗ים אַֽחֲרֵי֙ הֹולִידֹ֣ו אֶת־מְתוּשֶׁ֔לַח שְׁלֹ֥שׁ מֵאֹ֖ות שָׁנָ֑ה 
428069,simultaneous,Gen 6:4,בַּיָּמִ֣ים הֵם֒,בְּ,הַנְּפִלִ֞ים הָי֣וּ בָאָרֶץ֮ בַּיָּמִ֣ים הָהֵם֒ וְגַ֣ם אַֽחֲרֵי־כֵ֗ן אֲשֶׁ֨ר יָבֹ֜אוּ בְּנֵ֤י הָֽאֱלֹהִים֙ אֶל־בְּנֹ֣ות הָֽאָדָ֔ם 
428078,atelic_ext,Gen 6:5,כָּל־הַיֹּֽום׃,Ø,וַיַּ֣רְא יְהוָ֔ה כִּ֥י רַבָּ֛ה רָעַ֥ת הָאָדָ֖ם בָּאָ֑רֶץ וְכָל־יֵ֨צֶר֙ מַחְשְׁבֹ֣ת לִבֹּ֔ו רַ֥ק רַ֖ע כָּל־הַיֹּֽום׃ 
428156,simultaneous,Gen 7:10,לְשִׁבְעַ֣ת הַיָּמִ֑ים,לְ,וַֽיְהִ֖י לְשִׁבְעַ֣ת הַיָּמִ֑ים 
428161,simultaneous,Gen 7:13,בְּהַיֹּ֤ום זֶּה֙,בְּ,בְּעֶ֨צֶם הַיֹּ֤ום הַזֶּה֙ בָּ֣א נֹ֔חַ וְשֵׁם־וְחָ֥ם וָיֶ֖פֶת בְּנֵי־נֹ֑חַ וְאֵ֣שֶׁת נֹ֗חַ וּשְׁלֹ֧שֶׁת נְשֵֽׁי־בָנָ֛יו אִתָּ֖ם אֶל־הַתֵּבָֽה׃ הֵ֜מָּה וְכָל־הַֽחַיָּ֣ה לְמִינָ֗הּ וְכָל־הַבְּהֵמָה֙ לְמִינָ֔הּ וְכָל־הָרֶ֛מֶשׂ הָרֹמֵ֥שׂ עַל־הָאָ֖רֶץ לְמִינֵ֑הוּ וְכָל־הָעֹ֣וף לְמִינֵ֔הוּ כֹּ֖ל צִפֹּ֥ור כָּל־כָּנָֽף׃ 
428170,atelic_ext,Gen 7:17,אַרְבָּעִ֥ים יֹ֖ום,Ø,וַֽיְהִ֧י הַמַּבּ֛וּל אַרְבָּעִ֥ים יֹ֖ום עַל־הָאָ֑רֶץ 
428193,atelic_ext,Gen 7:24,חֲמִשִּׁ֥ים וּמְאַ֖ת יֹֽום׃,Ø,וַיִּגְבְּר֥וּ הַמַּ֖יִם עַל־הָאָ֑רֶץ חֲמִשִּׁ֥ים וּמְאַ֖ת יֹֽום׃ 
428220,atelic_ext,Gen 8:10,שִׁבְעַ֥ת יָמִ֖ים אֲחֵרִ֑ים,Ø,וַיָּ֣חֶל עֹ֔וד שִׁבְעַ֥ת יָמִ֖ים אֲחֵרִ֑ים 
428223,simultaneous,Gen 8:11,לְעֵ֣ת עֶ֔רֶב,לְ,וַתָּבֹ֨א אֵלָ֤יו הַיֹּונָה֙ לְעֵ֣ת עֶ֔רֶב 
428227,atelic_ext,Gen 8:12,שִׁבְעַ֥ת יָמִ֖ים אֲחֵרִ֑ים,Ø,וַיִּיָּ֣חֶל עֹ֔וד שִׁבְעַ֥ת יָמִ֖ים אֲחֵרִ֑ים 
428260,atelic_ext,Gen 8:22,כָּל־יְמֵ֣י הָאָ֑רֶץ,Ø,עֹ֖ד כָּל־יְמֵ֣י הָאָ֑רֶץ זֶ֡רַע וְ֠קָצִיר וְקֹ֨ר וָחֹ֜ם וְקַ֧יִץ וָחֹ֛רֶף וְיֹ֥ום וָלַ֖יְלָה לֹ֥א יִשְׁבֹּֽתוּ׃ 
428393,simultaneous,Gen 10:25,בְיָמָיו֙,בְּ,כִּ֤י בְיָמָיו֙ נִפְלְגָ֣ה הָאָ֔רֶץ 
428449,atelic_ext,Gen 11:11,חֲמֵ֥שׁ מֵאֹ֖ות שָׁנָ֑ה,Ø,וַֽיְחִי־שֵׁ֗ם אַֽחֲרֵי֙ הֹולִידֹ֣ו אֶת־אַרְפַּכְשָׁ֔ד חֲמֵ֥שׁ מֵאֹ֖ות שָׁנָ֑ה 
428452,atelic_ext,Gen 11:12,חָמֵ֥שׁ וּשְׁלֹשִׁ֖ים שָׁנָ֑ה,Ø,וְאַרְפַּכְשַׁ֣ד חַ֔י חָמֵ֥שׁ וּשְׁלֹשִׁ֖ים שָׁנָ֑ה 
428457,atelic_ext,Gen 11:14,שְׁלֹשִׁ֣ים שָׁנָ֑ה,Ø,וְשֶׁ֥לַח חַ֖י שְׁלֹשִׁ֣ים שָׁנָ֑ה 
428462,atelic_ext,Gen 11:16,אַרְבַּ֥ע וּשְׁלֹשִׁ֖ים שָׁנָ֑ה,Ø,וַֽיְחִי־עֵ֕בֶר אַרְבַּ֥ע וּשְׁלֹשִׁ֖ים שָׁנָ֑ה 
428467,atelic_ext,Gen 11:18,שְׁלֹשִׁ֣ים שָׁנָ֑ה,Ø,וַֽיְחִי־פֶ֖לֶג שְׁלֹשִׁ֣ים שָׁנָ֑ה 
428472,atelic_ext,Gen 11:20,שְׁתַּ֥יִם וּשְׁלֹשִׁ֖ים שָׁנָ֑ה,Ø,וַיְחִ֣י רְע֔וּ שְׁתַּ֥יִם וּשְׁלֹשִׁ֖ים שָׁנָ֑ה 
428477,atelic_ext,Gen 11:22,שְׁלֹשִׁ֣ים שָׁנָ֑ה,Ø,וַיְחִ֥י שְׂר֖וּג שְׁלֹשִׁ֣ים שָׁנָ֑ה 
428479,atelic_ext,Gen 11:23,מָאתַ֣יִם שָׁנָ֑ה,Ø,וַיְחִ֣י שְׂר֗וּג אַחֲרֵ֛י הֹולִידֹ֥ו אֶת־נָחֹ֖ור מָאתַ֣יִם שָׁנָ֑ה 
428482,atelic_ext,Gen 11:24,תֵּ֥שַׁע וְעֶשְׂרִ֖ים שָׁנָ֑ה,Ø,וַיְחִ֣י נָחֹ֔ור תֵּ֥שַׁע וְעֶשְׂרִ֖ים שָׁנָ֑ה 
428487,atelic_ext,Gen 11:26,שִׁבְעִ֣ים שָׁנָ֑ה,Ø,וַֽיְחִי־תֶ֖רַח שִׁבְעִ֣ים שָׁנָ֑ה 
428590,simultaneous,Gen 13:3,בַּתְּחִלָּ֔ה,בְּ,וַיֵּ֨לֶךְ֙ לְמַסָּעָ֔יו מִנֶּ֖גֶב וְעַד־בֵּֽית־אֵ֑ל עַד־הַמָּקֹ֗ום אֲשֶׁר־הָ֨יָה שָׁ֤ם אָֽהֳלֹו֙ בַּתְּחִלָּ֔ה בֵּ֥ין בֵּֽית־אֵ֖ל וּבֵ֥ין הָעָֽי׃ אֶל־מְקֹום֙ הַמִּזְבֵּ֔חַ אֲשֶׁר־עָ֥שָׂה שָׁ֖ם בָּרִאשֹׁנָ֑ה 
428592,simultaneous,Gen 13:4,בָּרִאשֹׁנָ֑ה,בְּ,וַיֵּ֨לֶךְ֙ לְמַסָּעָ֔יו מִנֶּ֖גֶב וְעַד־בֵּֽית־אֵ֑ל עַד־הַמָּקֹ֗ום אֲשֶׁר־הָ֨יָה שָׁ֤ם אָֽהֳלֹו֙ בַּתְּחִלָּ֔ה בֵּ֥ין בֵּֽית־אֵ֖ל וּבֵ֥ין הָעָֽי׃ אֶל־מְקֹום֙ הַמִּזְבֵּ֔חַ אֲשֶׁר־עָ֥שָׂה שָׁ֖ם בָּרִאשֹׁנָ֑ה 
428646,simultaneous,Gen 14:1,בִּימֵי֙ אַמְרָפֶ֣ל אַרְיֹ֖וךְ מֶ֣לֶךְ אֶלָּסָ֑ר כְּדָרְלָעֹ֨מֶר֙ מֶ֣לֶךְ עֵילָ֔ם וְתִדְעָ֖ל מֶ֥לֶךְ גֹּויִֽם׃,בְּ,וַיְהִ֗י בִּימֵי֙ אַמְרָפֶ֣ל מֶֽלֶךְ־שִׁנְעָ֔ר אַרְיֹ֖וךְ מֶ֣לֶךְ אֶלָּסָ֑ר כְּדָרְלָעֹ֨מֶר֙ מֶ֣לֶךְ עֵילָ֔ם וְתִדְעָ֖ל מֶ֥לֶךְ גֹּויִֽם׃ 
428651,atelic_ext,Gen 14:4,שְׁתֵּ֤ים עֶשְׂרֵה֙ שָׁנָ֔ה,Ø,שְׁתֵּ֤ים עֶשְׂרֵה֙ שָׁנָ֔ה עָבְד֖וּ אֶת־כְּדָרְלָעֹ֑מֶר 
428653,simultaneous,Gen 14:5,בְאַרְבַּע֩ עֶשְׂרֵ֨ה שָׁנָ֜ה,בְּ,וּבְאַרְבַּע֩ עֶשְׂרֵ֨ה שָׁנָ֜ה בָּ֣א כְדָרְלָעֹ֗מֶר וְהַמְּלָכִים֙ אֲשֶׁ֣ר אִתֹּ֔ו 
428781,atelic_ext,Gen 15:13,אַרְבַּ֥ע מֵאֹ֖ות שָׁנָֽה׃,Ø,וְעִנּ֣וּ אֹתָ֑ם אַרְבַּ֥ע מֵאֹ֖ות שָׁנָֽה׃ 
428794,simultaneous,Gen 15:18,בַּיֹּ֣ום ה֗וּא,בְּ,בַּיֹּ֣ום הַה֗וּא כָּרַ֧ת יְהוָ֛ה אֶת־אַבְרָ֖ם בְּרִ֣ית לֵאמֹ֑ר 
428937,simultaneous,Gen 17:23,בְּהַיֹּ֣ום זֶּ֔ה,בְּ,וַיָּ֜מָל אֶת־בְּשַׂ֣ר עָרְלָתָ֗ם בְּעֶ֨צֶם֙ הַיֹּ֣ום הַזֶּ֔ה כַּאֲשֶׁ֛ר דִּבֶּ֥ר אִתֹּ֖ו אֱלֹהִֽים׃ 
428943,simultaneous,Gen 17:26,בְּהַיֹּ֣ום זֶּ֔ה,בְּ,בְּעֶ֨צֶם֙ הַיֹּ֣ום הַזֶּ֔ה נִמֹּ֖ול אַבְרָהָ֑ם וְיִשְׁמָעֵ֖אל בְּנֹֽו׃ 
428989,simultaneous,Gen 18:10,כָּעֵ֣ת,כְּ,שֹׁ֣וב אָשׁ֤וּב אֵלֶ֨יךָ֙ כָּעֵ֣ת חַיָּ֔ה 
429102,simultaneous,Gen 19:1,בָּעֶ֔רֶב,בְּ,וַ֠יָּבֹאוּ שְׁנֵ֨י הַמַּלְאָכִ֤ים סְדֹ֨מָה֙ בָּעֶ֔רֶב 
429254,simultaneous,Gen 19:33,בַּלַּ֣יְלָה ה֑וּא,בְּ,וַתַּשְׁקֶ֧יןָ אֶת־אֲבִיהֶ֛ן יַ֖יִן בַּלַּ֣יְלָה ה֑וּא 
429267,simultaneous,Gen 19:35,בַּלַּ֧יְלָה ה֛וּא,בְּ,וַתַּשְׁקֶ֜יןָ גַּ֣ם בַּלַּ֧יְלָה הַה֛וּא אֶת־אֲבִיהֶ֖ן יָ֑יִן 
429317,simultaneous,Gen 20:8,בַּבֹּ֗קֶר,בְּ,וַיַּשְׁכֵּ֨ם אֲבִימֶ֜לֶךְ בַּבֹּ֗קֶר 
429367,simultaneous,Gen 21:2,לַמֹּועֵ֕ד,לְ,וַתֵּ֨לֶד שָׂרָ֧ה לְאַבְרָהָ֛ם בֵּ֖ן לִזְקֻנָ֑יו לַמֹּועֵ֕ד אֲשֶׁר־דִּבֶּ֥ר אֹתֹ֖ו אֱלֹהִֽים׃ 
429403,simultaneous,Gen 21:14,בַּבֹּ֡קֶר,בְּ,וַיַּשְׁכֵּ֣ם אַבְרָהָ֣ם׀ בַּבֹּ֡קֶר 
429443,simultaneous,Gen 21:22,בָּעֵ֣ת הִ֔וא,בְּ,וַֽיְהִי֙ בָּעֵ֣ת הַהִ֔וא 
429481,atelic_ext,Gen 21:34,יָמִ֥ים רַבִּֽים׃ פ,Ø,וַיָּ֧גָר אַבְרָהָ֛ם בְּאֶ֥רֶץ פְּלִשְׁתִּ֖ים יָמִ֥ים רַבִּֽים׃ פ 
429494,simultaneous,Gen 22:3,בַּבֹּ֗קֶר,בְּ,וַיַּשְׁכֵּ֨ם אַבְרָהָ֜ם בַּבֹּ֗קֶר 
429908,simultaneous,Gen 24:54,בַבֹּ֔קֶר,בְּ,וַיָּק֣וּמוּ בַבֹּ֔קֶר 
