,token,(n)heads_token,freq,mark,note,fix,ex_ref,ex,ex_node,ex_verse
214,ב.ה.שׁמים.ו.ב.ה.ארץ,ב.ב,1,b,bad phrase function (not a time phrase); good heads,function2,Psalms 113:6,בַּשָּׁמַ֥יִם וּבָאָֽרֶץ׃ ,849296,הַֽמַּשְׁפִּילִ֥י לִרְאֹ֑ות בַּשָּׁמַ֥יִם וּבָאָֽרֶץ׃ 
251,ב.הר.ציון.ו.ב.ירושׁלם,ב.ב,1,b,not a time phrase; heads are good though,function2,Joel 3:5,בְּהַר־צִיֹּ֨ון וּבִירוּשָׁלִַ֜ם ,825329,וְהָיָ֗ה כֹּ֧ל אֲשֶׁר־יִקְרָ֛א בְּשֵׁ֥ם יְהוָ֖ה יִמָּלֵ֑ט כִּ֠י בְּהַר־צִיֹּ֨ון וּבִירוּשָׁלִַ֜ם תִּֽהְיֶ֣ה פְלֵיטָ֗ה כַּֽאֲשֶׁר֙ אָמַ֣ר יְהוָ֔ה וּבַ֨שְּׂרִידִ֔ים אֲשֶׁ֥ר יְהוָ֖ה קֹרֵֽא׃ 
710,כל.ימי.כורשׁ.מלך.פרס.ו.עד.מלכות.דריושׁ.מלך.פרס,ימי.מלכות,1,b,"This TP should contain an NP specified by a PP with waw connection. The heads algorithm appears to have selected past the prep in this case. That is the expected behavior, but it has a bad effect here. There may be other cases like this, which could be isolated by finding independent preps within NP phrases and checking their head assignments.",define construction,Ezra 4:5,כָּל־יְמֵ֗י כֹּ֚ורֶשׁ מֶ֣לֶךְ פָּרַ֔ס וְעַד־מַלְכ֖וּת דָּרְיָ֥וֶשׁ מֶֽלֶךְ־פָּרָֽס׃ ,881852,וְסֹכְרִ֧ים עֲלֵיהֶ֛ם יֹועֲצִ֖ים לְהָפֵ֣ר עֲצָתָ֑ם כָּל־יְמֵ֗י כֹּ֚ורֶשׁ מֶ֣לֶךְ פָּרַ֔ס וְעַד־מַלְכ֖וּת דָּרְיָ֥וֶשׁ מֶֽלֶךְ־פָּרָֽס׃ 
858,מ.ה.יום.ה.הוא.ו.הלאה,מ,1,b,This TP misses והלאה; my suspicion is that these words are being marked as spec or atr when they should be para.,define construction,1_Samuel 18:9,מֵהַיֹּ֥ום הַה֖וּא וָהָֽלְאָה׃ ס ,738491,וַיְהִ֥י שָׁא֖וּל עֹויֵ֣ן אֶת־דָּוִ֑ד מֵהַיֹּ֥ום הַה֖וּא וָהָֽלְאָה׃ ס 
859,מ.ה.יום.ה.הוא.ו.מעלה,מ,2,b,"This is like הלאה but with מעלה; m. should be picked up as a coordinated noun. To prove this, it would be helpful to show comparable examples with waw connections.",define construction,1_Samuel 30:25,מֵֽהַיֹּ֥ום הַה֖וּא וָמָ֑עְלָה ,743564,וַיְהִ֕י מֵֽהַיֹּ֥ום הַה֖וּא וָמָ֑עְלָה וַיְשִׂמֶ֜הָ לְחֹ֤ק וּלְמִשְׁפָּט֙ לְיִשְׂרָאֵ֔ל עַ֖ד הַיֹּ֥ום הַזֶּֽה׃ פ 
865,מ.יום.ה.שׁמיני.ו.הלאה,מ,1,b,another case of הלאה not encoded,define construction,Leviticus 22:27,מִיֹּ֤ום הַשְּׁמִינִי֙ וָהָ֔לְאָה ,690126,שֹׁ֣ור אֹו־כֶ֤שֶׂב אֹו־עֵז֙ כִּ֣י יִוָּלֵ֔ד וְהָיָ֛ה שִׁבְעַ֥ת יָמִ֖ים תַּ֣חַת אִמֹּ֑ו וּמִיֹּ֤ום הַשְּׁמִינִי֙ וָהָ֔לְאָה יֵרָצֶ֕ה לְקָרְבַּ֥ן אִשֶּׁ֖ה לַיהוָֽה׃ 
949,מהלך.יום.אחד,מהלך,1,b,"“a walk of one day”—this does not seem to be temporal but rather distance expressed in terms of time. This function should be adjusted, probably to Adju, but possibly Loca.",function2,Jonah 3:4,מַהֲלַ֖ךְ יֹ֣ום אֶחָ֑ד ,828081,וַיָּ֤חֶל יֹונָה֙ לָבֹ֣וא בָעִ֔יר מַהֲלַ֖ךְ יֹ֣ום אֶחָ֑ד וַיִּקְרָא֙ וַיֹּאמַ֔ר עֹ֚וד אַרְבָּעִ֣ים יֹ֔ום וְנִֽינְוֵ֖ה נֶהְפָּֽכֶת׃ 
960,מן.ה.יום.ה.זה,מן,1,b,missing הלאה,is good,Haggai 2:19,מִן־הַיֹּ֥ום הַזֶּ֖ה ,831777,הַעֹ֤וד הַזֶּ֨רַע֙ בַּמְּגוּרָ֔ה וְעַד־הַגֶּ֨פֶן וְהַתְּאֵנָ֧ה וְהָרִמֹּ֛ון וְעֵ֥ץ הַזַּ֖יִת לֹ֣א נָשָׂ֑א מִן־הַיֹּ֥ום הַזֶּ֖ה אֲבָרֵֽךְ׃ ס 
961,מן.ה.יום.ה.זה.ו.מעלה,מן,1,b,missing ומעלה,define construction,Haggai 2:15,מִן־הַיֹּ֥ום הַזֶּ֖ה וָמָ֑עְלָה ,831733,וְעַתָּה֙ שִֽׂימוּ־נָ֣א לְבַבְכֶ֔ם מִן־הַיֹּ֥ום הַזֶּ֖ה וָמָ֑עְלָה מִטֶּ֧רֶם שֽׂוּם־אֶ֛בֶן אֶל־אֶ֖בֶן בְּהֵיכַ֥ל יְהוָֽה׃ 
962,מן.ה.יום.ה.זה.ו.מעלה.מ.יום.עשׂרים.ו.ארבעה.ל.ה.תשׁיעי.ל.מן.ה.יום,מן.ל,1,b,"missing מעלה. It’s also not clear why second ל is picked up as a head. It is not necessarily NOT a head, but this TP seems to have some complex syntax. Investigation needed.",define construction,Haggai 2:18,מִן־הַיֹּ֥ום הַזֶּ֖ה וָמָ֑עְלָה מִיֹּום֩ עֶשְׂרִ֨ים וְאַרְבָּעָ֜ה לַתְּשִׁיעִ֗י לְמִן־הַיֹּ֛ום ,831763,שִׂימוּ־נָ֣א לְבַבְכֶ֔ם מִן־הַיֹּ֥ום הַזֶּ֖ה וָמָ֑עְלָה מִיֹּום֩ עֶשְׂרִ֨ים וְאַרְבָּעָ֜ה לַתְּשִׁיעִ֗י לְמִן־הַיֹּ֛ום אֲשֶׁר־יֻסַּ֥ד הֵֽיכַל־יְהוָ֖ה שִׂ֥ימוּ לְבַבְכֶֽם׃ 
965,מן.ה.יום.ו.הלאה.ל.דרתיכם,מן,1,b,missing והלאה,define construction,Numbers 15:23,מִן־הַיֹּ֞ום וָהָ֖לְאָה לְדֹרֹתֵיכֶֽם׃ ,697176,אֵת֩ כָּל־אֲשֶׁ֨ר צִוָּ֧ה יְהוָ֛ה אֲלֵיכֶ֖ם בְּיַד־מֹשֶׁ֑ה מִן־הַיֹּ֞ום אֲשֶׁ֨ר צִוָּ֧ה יְהוָ֛ה וָהָ֖לְאָה לְדֹרֹתֵיכֶֽם׃ 
970,מן.ה.עולם.עד.ה.עולם,מן,1,b,"compare this to constructions in Jer 28:8. Ps 106:48, 1 Chr 16:36. This encoding that misses the second prep simply cannot be correct.",define construction,Nehemiah 9:5,מִן־הָעֹולָ֖ם עַד־הָעֹולָ֑ם ,885870,וַיֹּאמְר֣וּ הַלְוִיִּ֡ם יֵשׁ֣וּעַ וְ֠קַדְמִיאֵל בָּנִ֨י חֲשַׁבְנְיָ֜ה שֵׁרֵֽבְיָ֤ה הֹֽודִיָּה֙ שְׁבַנְיָ֣ה פְתַֽחְיָ֔ה ק֗וּמוּ בָּרֲכוּ֙ אֶת־יְהוָ֣ה אֱלֹֽהֵיכֶ֔ם מִן־הָעֹולָ֖ם עַד־הָעֹולָ֑ם וִיבָֽרְכוּ֙ שֵׁ֣ם כְּבֹודֶ֔ךָ וּמְרֹומַ֥ם עַל־כָּל־בְּרָכָ֖ה וּתְהִלָּֽה׃ 
976,מספר.ה.ימים.שׁלשׁ.מאות.ו.תשׁעים.יום,ימים,1,b,"The second יום should have been selected I believe, as is consistent with other coordinated quantification constructions.",good; NB appositional use here.,Ezekiel 4:9,מִסְפַּ֨ר הַיָּמִ֜ים שְׁלֹשׁ־מֵאֹ֧ות וְתִשְׁעִ֛ים יֹ֖ום ,807706,וְאַתָּ֣ה קַח־לְךָ֡ חִטִּ֡ין וּ֠שְׂעֹרִים וּפֹ֨ול וַעֲדָשִׁ֜ים וְדֹ֣חַן וְכֻסְּמִ֗ים וְנָתַתָּ֤ה אֹותָם֙ בִּכְלִ֣י אֶחָ֔ד וְעָשִׂ֧יתָ אֹותָ֛ם לְךָ֖ לְלָ֑חֶם מִסְפַּ֨ר הַיָּמִ֜ים אֲשֶׁר־אַתָּ֣ה׀ שֹׁוכֵ֣ב עַֽל־צִדְּךָ֗ שְׁלֹשׁ־מֵאֹ֧ות וְתִשְׁעִ֛ים יֹ֖ום תֹּאכֲלֶֽנּוּ׃ 
1097,שׁבת.שׁבת,שׁבת,1,b,"Second שׁבת missed, probably due to a atr/spec relation.",define construction,1_Chronicles 9:32,שַׁבַּ֥ת שַׁבָּֽת׃ ס ,889541,וּמִן־בְּנֵ֧י הַקְּהָתִ֛י מִן־אֲחֵיהֶ֖ם עַל־לֶ֣חֶם הַֽמַּעֲרָ֑כֶת לְהָכִ֖ין שַׁבַּ֥ת שַׁבָּֽת׃ ס 
