,count
ב.ה.יום.ה.הוא,205
ה.יום,192
מ׳.ימים,96
ל.עולם,87
ב.ה.בקר,79
עד.ה.יום.ה.זה,73
ב.יום,69
עד.עולם,53
מ׳.שׁנים,47
כל.ה.ימים,44
כל.ה.יום,42
עד.ה.ערב,42
מ׳.שׁנה,42
לילה,41
ב.ה.עת.ה.היא,39
ב.ה.יום.ה.שׁביעי,36
אחר,34
מחר,31
תמיד,30
מ׳.מ׳.שׁנה,30
ה.יום.ה.זה,29
מ׳.ו.מ׳.שׁנה,28
ב.ה.ימים.ה.הם,25
ל.נצח,24
ב.ה.יום.ה.שׁלישׁי,23
ה.לילה,21
ב.ה.ערב,20
מ.מחרת,20
יומם,20
ב.ה.עת.ה.הוא,19
ימים.רבים,18
יומם.ו.לילה,18
מ׳.חדשׁים,17
ב.ה.לילה,16
ל.פנים,15
ב.מ׳.ל.ה.חדשׁ,15
ב.ה.לילה.ה.הוא,15
ל.עלם,15
ב.ה.יום.ה.שׁמיני,14
ב.עצם.ה.יום.ה.זה,14
ב.ימיו,13
ב.יום.ה.שׁבת,13
ב.אחרית.ה.ימים,12
ל.עד,12
ב.כל.עת,12
כל.ה.לילה,12
ב.ה.בקר.ב.ה.בקר,12
עד.בקר,11
ב.ה.צהרים,11
עד.ה.בקר,11
ב.ה.יום.ה.שׁני,10
מ.יום,10
ב.יום.מ׳,10
בין.ה.ערבים,10
ב.עת,10
