node,ref,head_voc,text,category,sentence,link
651667,Gen 1:11,אֶרֶץ,עַל־הָאָ֑רֶץ,glob,תַּֽדְשֵׁ֤א הָאָ֨רֶץ֙ דֶּ֔שֶׁא עֵ֚שֶׂב מַזְרִ֣יעַ זֶ֔רַע עֵ֣ץ פְּרִ֞י עֹ֤שֶׂה פְּרִי֙ לְמִינֹ֔ו אֲשֶׁ֥ר זַרְעֹו־בֹ֖ו עַל־הָאָ֑רֶץ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=1&verse=11&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
651789,Gen 1:22,אֶרֶץ,בָּאָֽרֶץ׃,glob,וְהָעֹ֖וף יִ֥רֶב בָּאָֽרֶץ׃,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=1&verse=22&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
652018,Gen 2:9,גַּן,בְּתֹ֣וךְ הַגָּ֔ן,anap,וַיַּצְמַ֞ח יְהוָ֤ה אֱלֹהִים֙ מִן־הָ֣אֲדָמָ֔ה כָּל־עֵ֛ץ נֶחְמָ֥ד לְמַרְאֶ֖ה וְטֹ֣וב לְמַאֲכָ֑ל וְעֵ֤ץ הַֽחַיִּים֙ בְּתֹ֣וךְ הַגָּ֔ן וְעֵ֕ץ הַדַּ֖עַת טֹ֥וב וָרָֽע׃,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=2&verse=9&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
652316,Gen 3:10,גַּן,בַּגָּ֑ן,anap,אֶת־קֹלְךָ֥ שָׁמַ֖עְתִּי בַּגָּ֑ן,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=3&verse=10&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
652626,Gen 4:10,אֲדָמָה,מִן־הָֽאֲדָמָֽה׃,glob,קֹ֚ול דְּמֵ֣י אָחִ֔יךָ צֹעֲקִ֥ים אֵלַ֖י מִן־הָֽאֲדָמָֽה׃,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=4&verse=10&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653078,Gen 6:1,אֲדָמָה,עַל־פְּנֵ֣י הָֽאֲדָמָ֑ה,glob,כִּֽי־הֵחֵ֣ל הָֽאָדָ֔ם לָרֹ֖ב עַל־פְּנֵ֣י הָֽאֲדָמָ֑ה,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=6&verse=1&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653137,Gen 6:5,אֶרֶץ,בָּאָ֑רֶץ,glob,וַיַּ֣רְא יְהוָ֔ה כִּ֥י רַבָּ֛ה רָעַ֥ת הָאָדָ֖ם בָּאָ֑רֶץ וְכָל־יֵ֨צֶר֙ מַחְשְׁבֹ֣ת לִבֹּ֔ו רַ֥ק רַ֖ע כָּל־הַיֹּֽום׃,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=6&verse=5&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653149,Gen 6:6,אֶרֶץ,בָּאָ֑רֶץ,glob,כִּֽי־עָשָׂ֥ה אֶת־הָֽאָדָ֖ם בָּאָ֑רֶץ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=6&verse=6&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653203,Gen 6:12,אֶרֶץ,עַל־הָאָֽרֶץ׃ ס,glob,כִּֽי־הִשְׁחִ֧ית כָּל־בָּשָׂ֛ר אֶת־דַּרְכֹּ֖ו עַל־הָאָֽרֶץ׃ ס,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=6&verse=12&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653267,Gen 6:17,שָׁמַיִם,מִתַּ֖חַת הַשָּׁמָ֑יִם,glob,וַאֲנִ֗י הִנְנִי֩ מֵבִ֨יא אֶת־הַמַּבּ֥וּל מַ֨יִם֙ עַל־הָאָ֔רֶץ לְשַׁחֵ֣ת כָּל־בָּשָׂ֗ר אֲשֶׁר־בֹּו֙ ר֣וּחַ חַיִּ֔ים מִתַּ֖חַת הַשָּׁמָ֑יִם,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=6&verse=17&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653464,Gen 7:18,אֶרֶץ,עַל־הָאָ֑רֶץ,glob,וַיִּרְבּ֥וּ מְאֹ֖ד עַל־הָאָ֑רֶץ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=7&verse=18&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653473,Gen 7:19,אֶרֶץ,עַל־הָאָ֑רֶץ,glob,וְהַמַּ֗יִם גָּֽבְר֛וּ מְאֹ֥ד מְאֹ֖ד עַל־הָאָ֑רֶץ,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=7&verse=19&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653517,Gen 7:23,תֵּבָה,בַּתֵּבָֽה׃,anap,וַיִשָּׁ֧אֶר אַךְ־נֹ֛חַ וַֽאֲשֶׁ֥ר אִתֹּ֖ו בַּתֵּבָֽה׃,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=7&verse=23&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653521,Gen 7:24,אֶרֶץ,עַל־הָאָ֑רֶץ,glob,וַיִּגְבְּר֥וּ הַמַּ֖יִם עַל־הָאָ֑רֶץ חֲמִשִּׁ֥ים וּמְאַ֖ת יֹֽום׃,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=7&verse=24&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
653529,Gen 8:1,תֵּבָה,בַּתֵּבָ֑ה,anap,וַיִּזְכֹּ֤ר אֱלֹהִים֙ אֶת־נֹ֔חַ וְאֵ֤ת כָּל־הַֽחַיָּה֙ וְאֶת־כָּל־הַבְּהֵמָ֔ה אֲשֶׁ֥ר אִתֹּ֖ו בַּתֵּבָ֑ה,https://shebanq.ancient-data.org/hebrew/text?book=Genesis&chapter=8&verse=1&version=c&mr=m&qw=q&tp=txt_p&tr=hb&wget=v&qget=v&nget=vt
