node,head,ref,sentence
655087,לילה,Gen 14:15,וַיֵּחָלֵ֨ק עֲלֵיהֶ֧ם׀ לַ֛יְלָה ה֥וּא וַעֲבָדָ֖יו 
661450,יום,Gen 30:33,וְעָֽנְתָה־בִּ֤י צִדְקָתִי֙ בְּיֹ֣ום מָחָ֔ר 
673213,בקר,Exod 12:10,וְלֹא־תֹותִ֥ירוּ מִמֶּ֖נּוּ עַד־בֹּ֑קֶר 
673218,בקר,Exod 12:10,וְהַנֹּתָ֥ר מִמֶּ֛נּוּ עַד־בֹּ֖קֶר בָּאֵ֥שׁ תִּשְׂרֹֽפוּ׃ 
673402,בקר,Exod 12:22,וְאַתֶּ֗ם לֹ֥א תֵצְא֛וּ אִ֥ישׁ מִפֶּֽתַח־בֵּיתֹ֖ו עַד־בֹּֽקֶר׃ 
673497,לילה,Exod 12:30,וַיָּ֨קָם פַּרְעֹ֜ה לַ֗יְלָה ה֤וּא וְכָל־עֲבָדָיו֙ וְכָל־מִצְרַ֔יִם 
673512,לילה,Exod 12:31,וַיִּקְרָא֩ לְמֹשֶׁ֨ה וּֽלְאַהֲרֹ֜ן לַ֗יְלָה 
673963,לילה,Exod 13:21,וַֽיהוָ֡ה הֹלֵךְ֩ לִפְנֵיהֶ֨ם יֹומָ֜ם בְּעַמּ֤וּד עָנָן֙ לַנְחֹתָ֣ם הַדֶּ֔רֶךְ וְלַ֛יְלָה בְּעַמּ֥וּד אֵ֖שׁ לְהָאִ֣יר לָהֶ֑ם לָלֶ֖כֶת יֹומָ֥ם וָלָֽיְלָה׃ 
673975,לילה,Exod 13:22,וְעַמּ֥וּד הָאֵ֖שׁ לָ֑יְלָה לִפְנֵ֖י הָעָֽם׃ פ 
674321,בקר,Exod 14:27,וַיָּ֨שָׁב הַיָּ֜ם לִפְנֹ֥ות בֹּ֨קֶר֙ לְאֵ֣יתָנֹ֔ו 
674943,בקר,Exod 16:19,אִ֕ישׁ אַל־יֹותֵ֥ר מִמֶּ֖נּוּ עַד־בֹּֽקֶר׃ 
674952,בקר,Exod 16:20,וַיֹּותִ֨רוּ אֲנָשִׁ֤ים מִמֶּ֨נּוּ֙ עַד־בֹּ֔קֶר 
675571,בקר,Exod 18:14,וְכָל־הָעָ֛ם נִצָּ֥ב עָלֶ֖יךָ מִן־בֹּ֥קֶר עַד־עָֽרֶב׃ 
675571,ערב,Exod 18:14,וְכָל־הָעָ֛ם נִצָּ֥ב עָלֶ֖יךָ מִן־בֹּ֥קֶר עַד־עָֽרֶב׃ 
