node	ref	book	ph_type	text	token	clause	classi	time	time_etcbc	time_pos	time_pl	time_sffx	preposition	leading_prep	trailing_prep	tokenized_prep	extended_prep	bare	øanchor	genitive	definite	quantified	quant_str	cardinal	qualitative	qual_str	demonstrative	demon_str	demon_dist	ordinal	ord_str	cl_kind	verb	tense	verb_lex
1446800	Gen 1:1	Genesis	prep_ph	בְּרֵאשִׁ֖ית 	ב.ראשׁית	בְּרֵאשִׁ֖ית בָּרָ֣א אֱלֹהִ֑ים אֵ֥ת הַשָּׁמַ֖יִם וְאֵ֥ת הָאָֽרֶץ׃ 	single.prep.bare.øanchor	ראשׁית	R>CJT/	subs	False	False	True	ב	ב	ב	False	True	True	False	False	False		False	False		False			False		VC	True	qtl	ברא
1446801	Gen 2:2	Genesis	prep_ph	בַּיֹּ֣ום הַשְּׁבִיעִ֔י 	ב.ה.יום.ה.שׁביעי	וַיְכַ֤ל אֱלֹהִים֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מְלַאכְתֹּ֖ו 	single.prep.definite.def_apposition.ordinal	יום	JWM/	subs	False	False	True	ב	ב	ב	False	False	False	False	True	False		False	False		False			True	שׁביעי	VC	True	wyqtl	כלה
1446802	Gen 2:2	Genesis	prep_ph	בַּיֹּ֣ום הַשְּׁבִיעִ֔י 	ב.ה.יום.ה.שׁביעי	וַיִּשְׁבֹּת֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מִכָּל־מְלַאכְתֹּ֖ו 	single.prep.definite.def_apposition.ordinal	יום	JWM/	subs	False	False	True	ב	ב	ב	False	False	False	False	True	False		False	False		False			True	שׁביעי	VC	True	wyqtl	שׁבת
1446803	Gen 2:5	Genesis	prep	טֶ֚רֶם 	טרם	וְכֹ֣ל׀ שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה בָאָ֔רֶץ 	single.bare.øanchor	טרם	VRM/	subs	False	False	False				False	True	True	False	False	False		False	False		False			False		VC	True	yqtl	היה
1446804	Gen 2:5	Genesis	prep	טֶ֣רֶם 	טרם	וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח 	single.bare.øanchor	טרם	VRM/	subs	False	False	False				False	True	True	False	False	False		False	False		False			False		VC	True	yqtl	צמח
1446805	Gen 2:17	Genesis	prep_ph	בְּיֹ֛ום אֲכָלְךָ֥ מִמֶּ֖נּוּ 	ב.יום.אכל.מן	כִּ֗י בְּיֹ֛ום מֹ֥ות תָּמֽוּת׃ 	single.prep.genitive	יום	JWM/	subs	False	False	True	ב	ב	ב	False	False	False	True	False	False		False	False		False			False		VC	True	yqtl	מות
1446806	Gen 3:8	Genesis	prep_ph	לְר֣וּחַ הַיֹּ֑ום 	ל.רוח.ה.יום	מִתְהַלֵּ֥ךְ בַּגָּ֖ן לְר֣וּחַ הַיֹּ֑ום 	single.prep.genitive	רוח	RWX/	subs	False	False	True	ל	ל	ל	False	False	False	True	False	False		False	False		False			False		VC	True	ptcp	הלך
1446807	Gen 3:14	Genesis	numb_ph	כָּל־יְמֵ֥י חַיֶּֽיךָ׃ 	כל.יום.חיים	וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ 	single.genitive.quantified.qualitative	יום	JWM/	subs	True	False	False				False	False	False	True	False	True	כָּל־	False	True	כל	False			False		VC	True	yqtl	אכל
1446808	Gen 3:17	Genesis	numb_ph	כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ 	כל.יום.חיים	בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ 	single.genitive.quantified.qualitative	יום	JWM/	subs	True	False	False				False	False	False	True	False	True	כֹּ֖ל 	False	True	כל	False			False		VC	True	yqtl	אכל
1446809	Gen 3:22	Genesis	cont	עַתָּ֣ה׀ 	עתה	וְעַתָּ֣ה׀ 	single.bare.øanchor	עתה	<TH	advb	False	False	False				False	True	True	False	False	False		False	False		False			False		WP	False		
1446810	Gen 3:22	Genesis	prep_ph	לְעֹלָֽם׃ 	ל.עולם	וָחַ֥י לְעֹלָֽם׃ 	single.prep.bare.øanchor	עולם	<WLM/	subs	False	False	True	ל	ל	ל	False	True	True	False	False	False		False	False		False			False		VC	True	wqtl	חיה
1446811	Gen 4:3	Genesis	prep_ph	מִקֵּ֣ץ יָמִ֑ים 	מן.קץ.יום	וַֽיְהִ֖י מִקֵּ֣ץ יָמִ֑ים 	single.prep.øanchor	יום	JWM/	subs	True	False	True	מן	קץ	מן.קץ	True	False	True	False	False	False		False	False		False			False		VC	True	wyqtl	היה
1446812	Gen 4:11	Genesis	cont	עַתָּ֖ה 	עתה	וְעַתָּ֖ה 	single.bare.øanchor	עתה	<TH	advb	False	False	False				False	True	True	False	False	False		False	False		False			False		WP	False		
1446813	Gen 4:14	Genesis	defi_ph	הַיֹּ֗ום 	ה.יום	הֵן֩ גֵּרַ֨שְׁתָּ אֹתִ֜י הַיֹּ֗ום מֵעַל֙ פְּנֵ֣י הָֽאֲדָמָ֔ה 	single.definite	יום	JWM/	subs	False	False	False				False	False	False	False	True	False		False	False		False			False		VC	True	qtl	גרשׁ
1446814	Gen 4:15	Genesis	card	שִׁבְעָתַ֖יִם 	שׁבע	לָכֵן֙ כָּל־שִׁבְעָתַ֖יִם יֻקָּ֑ם 	single.øanchor.cardinal	שׁבע	CB</	subs	False	False	False				False	False	True	False	False	True		False	False		False			False		VC	True	yqtl	נקם
1446815	Gen 4:24	Genesis	card	שִׁבְעָתַ֖יִם 	שׁבע	כִּ֥י שִׁבְעָתַ֖יִם יֻקַּם־קָ֑יִן 	single.øanchor.cardinal	שׁבע	CB</	subs	False	False	False				False	False	True	False	False	True		False	False		False			False		VC	True	yqtl	נקם
