node,verse,book,booksuper,canon_part,period,times_etcbc,times_utf8,times_utf8d,times_POS,TA Heads,head_utf8,funct_type,function,quality,name,text,n_times,lex_token,is_advb,tense,firstw,genre,domain,gendom,clause,sentence,cl_rela,cl_type,cl_kind,verb,verb_etcbc,verb_utf8,verb_text,verbform,verb_stem,cl_args,has_objc,has_cmpl,has_subj,has_oc,Time Position,cl_type2,cl_nsuccs,cl_clust50,cl_clust10,verbtense,vt_order,PP,unmodified,modtag,modtag2,front,ph_type,has_time,notes,main_genre,APPO,DEF,ORDN,ØPP,GP,QUANT,PL,NUM,PARA,DEMON,demon_type,ADJV,TIMEAPPO,SPEC,SFX3,SFX,DU,SFX1,SFX2,ADVB,CARDC
427553,Genesis 1:1,Genesis,Genesis,Law,SBH,R>CJT/,ראשׁית,תישאר,NOUN,	exthebrew{ראשית},ראשׁית,main,simultaneous,location,simultaneous,בְּרֵאשִׁ֖ית ,1,ב.זמן,0,,	exthebrew{ב},prose,?,prose.?,בְּרֵאשִׁ֖ית בָּרָ֣א אֱלֹהִ֑ים אֵ֥ת הַשָּׁמַ֖יִם וְאֵ֥ת הָאָֽרֶץ׃ ,בְּרֵאשִׁ֖ית בָּרָ֣א אֱלֹהִ֑ים אֵ֥ת הַשָּׁמַ֖יִם וְאֵ֥ת הָאָֽרֶץ׃ ,Main,xQtX,VC,3.0,BR>[,ברא,ברא,qtl,qal,T-V-S-O,1,0,0,1,preposed,xQtX,94,1,1,PAST,TV,1.0,1,,Ø,ב,PP,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427680,Genesis 2:2,Genesis,Genesis,Law,SBH,JWM/,יום,םוי,NOUN,	exthebrew{יום},יום,main,simultaneous,location,simultaneous,בַּיֹּ֣ום שְּׁבִיעִ֔י ,1,ב.ה.זמן.ס׳,0,,	exthebrew{ו},prose,N,prose.N,וַיְכַ֤ל אֱלֹהִים֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מְלַאכְתֹּ֖ו ,וַיְכַ֤ל אֱלֹהִים֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מְלַאכְתֹּ֖ו אֲשֶׁ֣ר עָשָׂ֑ה ,Main,WayX,VC,685.0,KLH[,כלה,יכל,wayq,piel,W-V-S-T-O,1,0,0,1,medial,WayX,61,3,13,PAST,VT,1.0,0,ORDN,ORDN,ב,PP,1,,prose-N,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427682,Genesis 2:2,Genesis,Genesis,Law,SBH,JWM/,יום,םוי,NOUN,	exthebrew{יום},יום,main,simultaneous,location,simultaneous,בַּיֹּ֣ום שְּׁבִיעִ֔י ,1,ב.ה.זמן.ס׳,0,,	exthebrew{ו},prose,N,prose.N,וַיִּשְׁבֹּת֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מִכָּל־מְלַאכְתֹּ֖ו ,וַיִּשְׁבֹּת֙ בַּיֹּ֣ום הַשְּׁבִיעִ֔י מִכָּל־מְלַאכְתֹּ֖ו אֲשֶׁ֥ר עָשָֽׂה׃ ,Main,Way0,VC,696.0,CBT[,שׁבת,ישׁבת,wayq,qal,W-V-T-C,0,1,1,1,medial,Way0,0,3,13,PAST,VT,1.0,0,ORDN,ORDN,ב,PP,1,,prose-N,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427693,Genesis 2:5,Genesis,Genesis,Law,SBH,VRM/,טרם,םרט,PREP,	exthebrew{טרם},טרם,main,anterior,sequence,anterior,טֶ֚רֶם ,1,טרם,1,,	exthebrew{ו},prose,D,prose.D,וְכֹ֣ל׀ שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה בָאָ֔רֶץ ,וְכֹ֣ל׀ שִׂ֣יחַ הַשָּׂדֶ֗ה טֶ֚רֶם יִֽהְיֶ֣ה בָאָ֔רֶץ ,Main,WXYq,VC,751.0,HJH[,היה,יהיה,yqtl,qal,W-S-T-V-PrC,0,1,1,1,preposed,WXYq,4,3,15,PAST,TV,0.0,1,,Ø,טרם,ADVB,1,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427694,Genesis 2:5,Genesis,Genesis,Law,SBH,VRM/,טרם,םרט,PREP,	exthebrew{טרם},טרם,main,anterior,sequence,anterior,טֶ֣רֶם ,1,טרם,1,,	exthebrew{ו},prose,D,prose.D,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,וְכָל־עֵ֥שֶׂב הַשָּׂדֶ֖ה טֶ֣רֶם יִצְמָ֑ח ,Main,WXYq,VC,761.0,YMX[,צמח,יצמח,yqtl,qal,W-S-T-V,0,0,0,0,preposed,WXYq,3,3,15,PAST PERF,TV,0.0,1,,Ø,טרם,ADVB,1,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427805,Genesis 3:8,Genesis,Genesis,Law,SBH,RWX/,רוח,חור,NOUN,	exthebrew{רוח},רוח,main,simultaneous,location,simultaneous,לְר֣וּחַ הַיֹּ֑ום ,1,ל.זמן,0,,	exthebrew{הלך},prose,N,prose.N,מִתְהַלֵּ֥ךְ בַּגָּ֖ן לְר֣וּחַ הַיֹּ֑ום ,וַֽיִּשְׁמְע֞וּ אֶת־קֹ֨ול יְהוָ֧ה אֱלֹהִ֛ים מִתְהַלֵּ֥ךְ בַּגָּ֖ן לְר֣וּחַ הַיֹּ֑ום ,SubMod,Ptcp,VC,1321.0,HLK[,הלך,מתהלך,ptcp,hit,V-C-T,0,1,1,1,final,Ptcp,0,6,26,PRES PART,VT,1.0,0,C,C,ל,PP,1,,prose-N,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427835,Genesis 3:14,Genesis,Genesis,Law,SBH,JWM/,יום,םוי,NOUN,	exthebrew{יום},יום,main,atelic_ext,duration,atelic_ext,כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,1,זמן,0,,	exthebrew{ו},prose,Q,prose.Q,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,וְעָפָ֥ר תֹּאכַ֖ל כָּל־יְמֵ֥י חַיֶּֽיךָ׃ ,Main,WxY0,VC,1452.0,>KL[,אכל,תאכל,yqtl,qal,W-O-V-T,1,0,0,1,final,WxY0,3,6,29,MOD shall,VT,0.0,0,KL+PL+C,KL+PL+C,Ø,NP,1,,prose-Q,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427851,Genesis 3:17,Genesis,Genesis,Law,SBH,JWM/,יום,םוי,NOUN,	exthebrew{יום},יום,main,atelic_ext,duration,atelic_ext,כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,1,זמן,0,,	exthebrew{ב},prose,Q,prose.Q,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,בְּעִצָּבֹון֙ תֹּֽאכֲלֶ֔נָּה כֹּ֖ל יְמֵ֥י חַיֶּֽיךָ׃ ,Main,xYq0,VC,1526.0,>KL[,אכל,תאכלנה,yqtl,qal,A-V-O-T,1,0,0,1,final,xYq0,4,6,30,MOD shall,VT,0.0,0,KL+PL+C,KL+PL+C,Ø,NP,1,,prose-Q,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427866,Genesis 3:22,Genesis,Genesis,Law,SBH,<TH,עתה,התע,ADVB,	exthebrew{עתה},עתה,main,simultaneous,location,simultaneous,עַתָּ֣ה׀ ,1,עתה,1,PRES,	exthebrew{ו},prose,Q,prose.Q,וְעַתָּ֣ה׀ ,וְעַתָּ֣ה׀ ,Main,MSyn,WP,,,,,Ø,,W-T,0,0,0,0,final,MSyn,3,7,32,,,0.0,1,,Ø,עתה,ADVB,1,,prose-Q,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427870,Genesis 3:22,Genesis,Genesis,Law,SBH,<WLM/,עולם,םלוע,NOUN,	exthebrew{עולם},עולם,main,anterior_dur,duration,anterior_dur,לְעֹלָֽם׃ ,1,ל.זמן,0,,	exthebrew{ו},prose,Q,prose.Q,וָחַ֥י לְעֹלָֽם׃ ,וָחַ֥י לְעֹלָֽם׃ ,Main,WQt0,VC,1619.0,XJH[,חיה,חי,wqtl,qal,W-V-T,0,0,0,0,final,WQt0,0,7,32,MOD lest,VT,1.0,1,,Ø,ל,PP,1,,prose-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
