Source,Target,Weight
0,49,0.02
0,84,0.01
0,221,0.05
0,109,0.01
0,130,0.01
0,144,0.02
0,150,0.12
0,152,0.01
1,220,0.14
1,2,0.17
1,3,0.24
1,222,0.14
1,41,0.08
1,4,0.29
1,31,0.13
1,11,0.08
1,12,0.22
1,15,0.27
1,16,0.21
1,69,0.09
1,17,0.2
1,34,0.14
1,30,0.18
1,20,0.19
1,48,0.01
1,223,0.25
1,27,0.3
1,28,0.06
1,90,0.13
1,224,0.17
1,93,0.04
1,32,0.04
1,33,0.24
1,35,0.28
1,225,0.06
1,226,0.28
1,127,0.25
1,63,0.21
1,40,0.09
1,42,0.27
1,227,0.06
1,46,0.18
1,47,0.31
1,49,0.09
1,100,0.01
1,51,0.13
1,52,0.17
1,230,0.26
1,53,0.1
1,54,0.04
1,231,0.1
1,56,0.15
1,57,0.21
1,58,0.06
1,65,0.13
1,66,0.19
1,166,0.08
1,70,0.16
1,71,0.12
1,92,0.27
1,76,0.21
1,77,0.14
1,78,0.02
1,211,0.12
1,232,0.21
1,80,0.14
1,81,0.24
1,82,0.31
1,233,0.14
1,83,0.09
1,237,0.47
1,239,0.14
1,174,0.12
1,240,0.09
1,91,0.14
1,113,0.04
1,97,0.14
1,98,0.01
1,101,0.14
1,102,0.07
1,104,0.18
1,146,0.26
1,128,0.02
1,151,0.03
1,154,0.14
1,167,0.02
1,242,0.14
1,169,0.31
1,244,0.06
1,176,0.26
1,183,0.06
1,245,0.14
1,247,0.14
1,248,0.47
1,200,0.14
1,205,0.01
1,249,0.14
1,209,0.01
1,210,0.01
1,212,0.01
1,217,0.05
1,218,0.05
1,253,0.24
1,255,0.06
1,256,0.14
2,220,0.03
2,1,0.1
2,3,0.03
2,222,0.23
2,41,0.25
2,9,0.27
2,68,0.05
2,164,0.03
2,13,0.15
2,6,0.06
2,4,0.11
2,44,0.06
2,15,0.12
2,16,0.1
2,257,0.04
2,69,0.02
2,24,0.04
2,27,0.12
2,90,0.04
2,32,0.05
2,225,0.15
2,50,0.46
2,258,0.47
2,36,0.1
2,37,0.17
2,39,0.23
2,42,0.06
2,43,0.13
